assists,games,goals,id,key_passes,league,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,year,yellow_cards
0,1,0,6704,1,RFPL,0,0,Kingsley Michael,M,0,0,Bologna,79,0.1346753090620041,0,0.24643410742282867,0.24643410742282867,2021,0
0,2,0,6706,0,RFPL,0,0,Ndary Adopo,S,0,0,Torino,2,0,0,0,0,2021,0
0,9,0,6750,2,RFPL,0,1.071083426475525,Gonzalo Villar,M S,0,2,Roma,283,0.04703297093510628,1.071083426475525,2.392387144267559,3.028865644708276,2021,3
0,17,0,6962,0,RFPL,0,0,Robin Olsen,GK,1,0,Cagliari,1530,0,0,0.38520088512450457,0.38520088512450457,2021,0
0,1,0,6966,0,RFPL,0,0,Daniel Fuzato,GK,0,0,Roma,90,0,0,0,0,2021,0
0,13,0,6971,11,RFPL,0,0,Mitchell Dijks,D S,0,0,Bologna,1017,0.9109896011650562,0,2.5157499806955457,2.869837320409715,2021,4
1,16,0,6973,1,RFPL,0,0.24841776117682457,Nehuén Paz,D S,0,4,"Bologna,Lecce",960,0.042125336825847626,0.24841776117682457,1.5586653091013432,1.5586653091013432,2021,5
0,2,0,6976,0,RFPL,0,0,Demba Thiam,GK,0,0,SPAL 2013,180,0,0,0.09034709632396698,0.09034709632396698,2021,0
0,7,0,6977,1,RFPL,0,0,Pietro Terracciano,GK,0,0,Fiorentina,627,0.01674279384315014,0,0.5407215412706137,0.557464336976409,2021,0
0,30,0,6996,3,RFPL,0,1.0271632093936205,William Troost-Ekong,D S,0,6,Udinese,2578,0.13370067067444324,1.0271632093936205,4.053079913370311,4.148659090511501,2021,5
1,14,0,6998,4,RFPL,0,0.31638713367283344,Lukasz Teodorczyk,F S,0,4,Udinese,194,0.8843086436390877,0.31638713367283344,0.3310583680868149,1.4451038856059313,2021,1
0,20,0,7000,8,RFPL,0,0.12071346864104271,Hidde ter Avest,D S,0,2,Udinese,654,0.47330041509121656,0.12071346864104271,2.914890345185995,3.149250779300928,2021,1
0,7,0,7001,4,RFPL,0,0.07653453014791012,Nicholas Opoku,D S,1,3,Udinese,483,0.14764788094908,0.07653453014791012,0.6129381293430924,0.6884428644552827,2021,1
2,25,0,7014,26,RFPL,0,1.7005243729799986,Arkadiusz Reca,D S,0,19,SPAL 2013,1941,2.1080591920763254,1.7005243729799986,3.255592666566372,4.709568111225963,2021,2
0,2,0,7089,0,RFPL,0,0,Gabriele Corbo,D S,0,0,Bologna,117,0,0,0.09318879246711731,0.09318879246711731,2021,1
0,32,0,7092,2,RFPL,0,0.15098160598427057,Koray Günter,D S,0,6,Verona,2740,0.04505173023790121,0.15098160598427057,6.222311330959201,6.281711472198367,2021,7
