Match_ID,Match_date,team,Team_1,match_rank,short_date,h_a,xG lag 1,xG lag 2,xG lag 3,goals lag 1,goals lag 2,goals lag 3,win_rate,draw_rate,loss_rate,ppda_att,ppda_def,ppda_allowed_def,ppda_allowed_att,ppda_att_opp,ppda_def_opp,ppda_allowed_def_opp,ppda_allowed_att_opp,goals
3105,2016-12-03 00:00:00+00:00,Manchester City,Chelsea,198.0,2016-12-03,h,2.294767434708774,1.3942067548632622,2.496055794879794,2.0,2.0,1.0,0.6,0.4,0.0,223.0,26.0,28.0,180.0,223.0,26.0,28.0,180.0,0.0
3106,2016-12-03 00:00:00+00:00,Southampton,Crystal Palace,196.0,2016-12-03,a,2.805618532001972,0.09420550800859928,2.0304594319313765,1.0,0.0,1.0,0.2,0.4,0.4,223.0,26.0,28.0,180.0,225.0,27.0,28.0,186.0,0.0
3106,2016-12-03 00:00:00+00:00,Crystal Palace,Southampton,197.0,2016-12-03,h,2.297433529049158,0.44008204340934753,2.0596084035933018,3.0,1.0,2.0,0.0,0.0,1.0,223.0,26.0,28.0,180.0,141.0,25.0,20.0,259.0,3.0
3107,2016-12-03 00:00:00+00:00,Stoke,Burnley,63.0,2016-12-03,h,0.7218233402818441,1.6042868625372648,0.8104596734046936,0.0,0.0,1.0,0.6,0.2,0.2,223.0,26.0,28.0,180.0,336.0,15.0,16.0,98.0,2.0
3107,2016-12-03 00:00:00+00:00,Burnley,Stoke,194.0,2016-12-03,a,0.47623208351433277,0.5710054226219654,2.3144588889554143,1.0,0.0,3.0,0.4,0.2,0.4,223.0,26.0,28.0,180.0,,,,,0.0
3108,2016-12-03 00:00:00+00:00,Sunderland,Leicester,25.0,2016-12-03,h,0.2910730168223381,0.9515111036598682,1.1367158191278577,0.0,3.0,2.0,0.4,0.0,0.6,223.0,26.0,28.0,180.0,352.0,14.0,12.0,180.0,1.0
3108,2016-12-03 00:00:00+00:00,Leicester,Sunderland,195.0,2016-12-03,a,2.047804072499275,1.1968597080558538,0.6296777706593275,2.0,1.0,1.0,0.2,0.4,0.4,223.0,26.0,28.0,180.0,,,,,1.0
3109,2016-12-03 00:00:00+00:00,Swansea,Tottenham,63.0,2016-12-03,a,3.551920674741268,1.0747092962265015,0.5126603618264198,5.0,1.0,1.0,0.2,0.4,0.4,223.0,26.0,28.0,180.0,228.0,23.0,17.0,161.0,0.0
3109,2016-12-03 00:00:00+00:00,Tottenham,Swansea,195.0,2016-12-03,h,0.42256847210228443,2.5676107918843627,1.1958542875945568,1.0,3.0,1.0,0.2,0.6,0.2,223.0,26.0,28.0,180.0,,,,,5.0
311,2016-02-02 00:00:00+00:00,Arsenal,Southampton,225.0,2016-02-02,h,1.1185324918478727,0.5858410596847534,2.2291214019060135,0.0,0.0,3.0,0.4,0.4,0.2,132.0,24.0,19.0,179.0,206.0,19.0,26.0,256.0,0.0
311,2016-02-02 00:00:00+00:00,Southampton,Arsenal,224.0,2016-02-02,a,0.8359097298234701,1.4398820102214813,1.7223978964611888,1.0,3.0,2.0,0.6,0.0,0.4,132.0,24.0,19.0,179.0,344.0,23.0,30.0,140.0,0.0
3110,2016-12-03 00:00:00+00:00,Watford,West Bromwich Albion,157.0,2016-12-03,a,0.5477437973022461,0.719699751585722,0.7711331229656935,0.0,2.0,1.0,0.4,0.2,0.4,223.0,26.0,28.0,180.0,261.0,38.0,27.0,152.0,1.0
3110,2016-12-03 00:00:00+00:00,West Bromwich Albion,Watford,101.0,2016-12-03,h,1.4021272733807564,1.4051235057413578,0.7819595830515027,1.0,4.0,2.0,0.4,0.2,0.4,223.0,26.0,28.0,180.0,175.0,23.0,21.0,243.0,3.0
3111,2016-12-03 00:00:00+00:00,Arsenal,West Ham,197.0,2016-12-03,a,2.8696984853595495,0.5758129367604852,0.6790506765246391,3.0,1.0,0.0,0.4,0.6,0.0,223.0,26.0,28.0,180.0,223.0,26.0,28.0,180.0,5.0
3111,2016-12-03 00:00:00+00:00,West Ham,Arsenal,197.0,2016-12-03,h,0.7493878062814474,1.8125627525150776,0.4045281168073416,1.0,2.0,0.0,0.2,0.4,0.4,223.0,26.0,28.0,180.0,223.0,26.0,28.0,180.0,1.0
3112,2016-12-04 00:00:00+00:00,Liverpool,Bournemouth,197.0,2016-12-04,a,2.024610148742795,1.6889763260260224,4.251773022115231,2.0,0.0,6.0,0.8,0.2,0.0,223.0,26.0,28.0,180.0,,,,,3.0
3112,2016-12-04 00:00:00+00:00,Bournemouth,Liverpool,139.0,2016-12-04,h,2.049102262593806,1.2401242684572935,2.6519119068980217,1.0,1.0,1.0,0.2,0.2,0.6,223.0,26.0,28.0,180.0,328.0,23.0,11.0,151.0,4.0
3113,2016-12-04 00:00:00+00:00,Everton,Manchester United,195.0,2016-12-04,h,0.6151738353073597,1.5487692467868328,0.01313214935362339,0.0,1.0,0.0,0.2,0.2,0.6,223.0,26.0,28.0,180.0,225.0,27.0,28.0,186.0,1.0
3113,2016-12-04 00:00:00+00:00,Manchester United,Everton,196.0,2016-12-04,a,1.4513160176575184,0.5114618800580502,1.000057402998209,1.0,1.0,3.0,0.2,0.6,0.2,223.0,26.0,28.0,180.0,141.0,25.0,20.0,259.0,1.0
3114,2016-12-06 00:00:00+00:00,Hull,Middlesbrough,25.0,2016-12-06,a,0.42445668671280146,1.274407995864749,0.5612147804349661,1.0,0.0,2.0,0.2,0.2,0.6,223.0,26.0,28.0,180.0,223.0,26.0,28.0,180.0,0.0
3114,2016-12-06 00:00:00+00:00,Middlesbrough,Hull,25.0,2016-12-06,h,0.425251979380846,0.5614606980234385,0.2087616352364421,2.0,0.0,1.0,0.2,0.6,0.2,223.0,26.0,28.0,180.0,223.0,26.0,28.0,180.0,1.0
3115,2016-12-10 00:00:00+00:00,Everton,Watford,194.0,2016-12-10,a,1.6498519917950034,0.6151738353073597,1.5487692467868328,1.0,0.0,1.0,0.2,0.4,0.4,225.0,27.0,28.0,186.0,91.0,18.0,32.0,312.0,2.0
3115,2016-12-10 00:00:00+00:00,Watford,Everton,156.0,2016-12-10,h,1.4871565755456686,0.5477437973022461,0.719699751585722,1.0,0.0,2.0,0.4,0.0,0.6,225.0,27.0,28.0,186.0,284.0,31.0,15.0,248.0,3.0
3116,2016-12-10 00:00:00+00:00,Crystal Palace,Hull,196.0,2016-12-10,a,2.200730374082923,2.297433529049158,0.44008204340934753,3.0,3.0,1.0,0.2,0.0,0.8,225.0,27.0,28.0,186.0,,,,,3.0
3116,2016-12-10 00:00:00+00:00,Hull,Crystal Palace,24.0,2016-12-10,h,0.22133883647620678,0.42445668671280146,1.274407995864749,0.0,1.0,0.0,0.2,0.2,0.6,225.0,27.0,28.0,186.0,290.0,23.0,25.0,232.0,3.0
3117,2016-12-10 00:00:00+00:00,Sunderland,Swansea,24.0,2016-12-10,a,1.4414354152977467,0.2910730168223381,0.9515111036598682,1.0,0.0,3.0,0.6,0.0,0.4,225.0,27.0,28.0,186.0,284.0,31.0,15.0,248.0,0.0
3117,2016-12-10 00:00:00+00:00,Swansea,Sunderland,62.0,2016-12-10,h,0.03421090915799141,3.551920674741268,1.0747092962265015,0.0,5.0,1.0,0.2,0.2,0.6,225.0,27.0,28.0,186.0,91.0,18.0,32.0,312.0,3.0
3118,2016-12-10 00:00:00+00:00,Arsenal,Stoke,196.0,2016-12-10,h,3.036004152148962,2.8696984853595495,0.5758129367604852,5.0,3.0,1.0,0.6,0.4,0.0,225.0,27.0,28.0,186.0,,,,,3.0
3118,2016-12-10 00:00:00+00:00,Stoke,Arsenal,62.0,2016-12-10,a,1.1448759529739618,0.7218233402818441,1.6042868625372648,2.0,0.0,0.0,0.6,0.2,0.2,225.0,27.0,28.0,186.0,361.0,17.0,20.0,160.0,1.0
3119,2016-12-10 00:00:00+00:00,Bournemouth,Burnley,138.0,2016-12-10,a,3.0767904138192534,2.049102262593806,1.2401242684572935,4.0,1.0,1.0,0.4,0.0,0.6,225.0,27.0,28.0,186.0,175.0,23.0,21.0,243.0,2.0
3119,2016-12-10 00:00:00+00:00,Burnley,Bournemouth,193.0,2016-12-10,h,0.778888700529933,0.47623208351433277,0.5710054226219654,0.0,1.0,0.0,0.2,0.2,0.6,225.0,27.0,28.0,186.0,,,,,3.0
312,2016-02-02 00:00:00+00:00,Leicester,Liverpool,223.0,2016-02-02,h,2.2590559739619493,2.2351407036185265,0.5933973882347345,3.0,1.0,1.0,0.4,0.6,0.0,132.0,24.0,19.0,179.0,195.0,22.0,28.0,175.0,2.0
312,2016-02-02 00:00:00+00:00,Liverpool,Leicester,225.0,2016-02-02,a,1.449434177018702,0.9529735753312707,1.1648044362664223,5.0,0.0,3.0,0.4,0.2,0.4,132.0,24.0,19.0,179.0,251.0,24.0,28.0,204.0,0.0
3120,2016-12-10 00:00:00+00:00,Manchester City,Leicester,197.0,2016-12-10,a,2.2406143732368946,2.294767434708774,1.3942067548632622,0.0,2.0,2.0,0.6,0.2,0.2,225.0,27.0,28.0,186.0,374.0,28.0,21.0,274.0,2.0
3120,2016-12-10 00:00:00+00:00,Leicester,Manchester City,194.0,2016-12-10,h,1.1541599528864026,2.047804072499275,1.1968597080558538,1.0,2.0,1.0,0.0,0.4,0.6,225.0,27.0,28.0,186.0,306.0,21.0,21.0,121.0,4.0
3121,2016-12-11 00:00:00+00:00,Chelsea,West Bromwich Albion,197.0,2016-12-11,h,1.284803070127964,1.2494820207357407,1.687378242611885,3.0,2.0,1.0,1.0,0.0,0.0,225.0,27.0,28.0,186.0,,,,,1.0
3121,2016-12-11 00:00:00+00:00,West Bromwich Albion,Chelsea,100.0,2016-12-11,a,1.1773677244782448,1.4021272733807564,1.4051235057413578,3.0,1.0,4.0,0.6,0.2,0.2,225.0,27.0,28.0,186.0,249.0,15.0,9.0,217.0,0.0
3122,2016-12-11 00:00:00+00:00,Tottenham,Manchester United,194.0,2016-12-11,a,4.334624283015728,0.42256847210228443,2.5676107918843627,5.0,1.0,3.0,0.4,0.4,0.2,225.0,27.0,28.0,186.0,177.0,20.0,25.0,200.0,0.0
3122,2016-12-11 00:00:00+00:00,Manchester United,Tottenham,195.0,2016-12-11,h,0.5412992462515831,1.4513160176575184,0.5114618800580502,1.0,1.0,1.0,0.2,0.8,0.0,225.0,27.0,28.0,186.0,223.0,26.0,28.0,180.0,1.0
3123,2016-12-11 00:00:00+00:00,Southampton,Middlesbrough,195.0,2016-12-11,h,0.7666250243782997,2.805618532001972,0.09420550800859928,0.0,1.0,0.0,0.2,0.2,0.6,225.0,27.0,28.0,186.0,,,,,1.0
